id,cell_type,ctrl_ids,disease_name,geo_id,organism,pert_ids,platform,version
dz:P2695,Blood|Body tissue|Whole blood sample|whole blood specimen,GSM983469|GSM983470,"Pneumonia, Bacterial|Influenza|Pneumonia",GSE40012,human,GSM983555|GSM983566|GSM983567|GSM983568|GSM983569,GPL6947,2.0
dz:P2694,Blood|Body tissue|Whole blood sample|whole blood specimen,GSM983469|GSM983470,Influenza|Pneumonia,GSE40012,human,GSM983547|GSM983548|GSM983549|GSM983550|GSM983575,GPL6947,2.0
dz:P2446,Cells|Peripheral blood mononuclear cell (cell),GSM844138|GSM844139|GSM844170|GSM844171|GSM844200|GSM844205,Communicable Diseases|Influenza,GSE34205,human,GSM844161|GSM844179,GPL570,2.0
dz:P2447,Cells|Peripheral blood mononuclear cell (cell),GSM844138|GSM844139|GSM844170|GSM844171|GSM844200|GSM844205,Communicable Diseases|Influenza|Respiratory Syncytial Virus Infections,GSE34205,human,GSM844163|GSM844189|GSM844222,GPL570,2.0
dz:P2444,Cells|Peripheral blood mononuclear cell (cell),GSM844138|GSM844139|GSM844170|GSM844171|GSM844200|GSM844205,Communicable Diseases|Influenza|Respiratory Syncytial Virus Infections,GSE34205,human,GSM844158|GSM844176|GSM844178|GSM844185|GSM844220,GPL570,2.0
dz:P2442,Cells|Peripheral blood mononuclear cell (cell),GSM844138|GSM844139|GSM844170|GSM844171|GSM844200|GSM844205,Communicable Diseases|Influenza,GSE34205,human,GSM844155|GSM844227,GPL570,2.0
dz:P2443,Cells|Peripheral blood mononuclear cell (cell),GSM844138|GSM844139|GSM844170|GSM844171|GSM844200|GSM844205,Communicable Diseases|Influenza|Respiratory Syncytial Virus Infections,GSE34205,human,GSM844157|GSM844215,GPL570,2.0
dz:P2440,Cells|Peripheral blood mononuclear cell (cell),GSM844138|GSM844139|GSM844170|GSM844171|GSM844200|GSM844205,Communicable Diseases|Influenza,GSE34205,human,GSM844148|GSM844186|GSM844224,GPL570,2.0
dz:P2441,Cells|Peripheral blood mononuclear cell (cell),GSM844138|GSM844139|GSM844170|GSM844171|GSM844200|GSM844205,Communicable Diseases|Influenza,GSE34205,human,GSM844149|GSM844152|GSM844233,GPL570,2.0
dz:P2448,Cells|Peripheral blood mononuclear cell (cell),GSM844138|GSM844139|GSM844170|GSM844171|GSM844200|GSM844205,Communicable Diseases|Influenza|Respiratory Syncytial Virus Infections,GSE34205,human,GSM844168|GSM844177,GPL570,2.0
dz:P490,whole blood specimen|Blood Cells|Body tissue,GSM1224903|GSM1224905,Seizures|Viral gastroenteritis due to Rotavirus|Communicable Diseases|Influenza|Rotavirus Infections|Pathogenesis,GSE50628,human,GSM1224909|GSM1224911|GSM1224913,GPL570,2.0
dz:P491,whole blood specimen|Blood Cells|Body tissue,GSM1224903|GSM1224905,Seizures|Viral gastroenteritis due to Rotavirus|Communicable Diseases|Influenza|Rotavirus Infections|Pathogenesis,GSE50628,human,GSM1224910|GSM1224912|GSM1224914,GPL570,2.0
dz:P492,whole blood specimen|Blood Cells|Body tissue,GSM1224904|GSM1224906,Influenza|Seizures|Viral gastroenteritis due to Rotavirus|Communicable Diseases|Rotavirus Infections|Pathogenesis,GSE50628,human,GSM1224893|GSM1224897|GSM1224899,GPL570,2.0
dz:P493,whole blood specimen|Blood Cells|Body tissue,GSM1224904|GSM1224906,Influenza|Seizures|Viral gastroenteritis due to Rotavirus|Communicable Diseases|Rotavirus Infections|Pathogenesis,GSE50628,human,GSM1224894|GSM1224898|GSM1224900,GPL570,2.0
dz:P494,whole blood specimen|Blood Cells|Body tissue,GSM1224904|GSM1224906,Seizures|Viral gastroenteritis due to Rotavirus|Communicable Diseases|Influenza|Rotavirus Infections|Pathogenesis,GSE50628,human,GSM1224909|GSM1224911|GSM1224913,GPL570,2.0
dz:P495,whole blood specimen|Blood Cells|Body tissue,GSM1224904|GSM1224906,Seizures|Viral gastroenteritis due to Rotavirus|Communicable Diseases|Influenza|Rotavirus Infections|Pathogenesis,GSE50628,human,GSM1224910|GSM1224912|GSM1224914,GPL570,2.0
dz:P496,Blood|Body tissue|whole blood specimen,GSM1225046|GSM1225047,"Encephalitis, St. Louis|Degenerative polyarthritis",GSE50635,human,GSM1225059|GSM1225071,GPL6244,2.0
dz:P497,Blood|Body tissue|whole blood specimen,GSM1225046|GSM1225047,"Encephalitis, St. Louis|Degenerative polyarthritis",GSE50635,human,GSM1225074|GSM1225077,GPL6244,2.0
dz:P498,Blood|Body tissue|whole blood specimen,GSM1225051|GSM1225054,"Encephalitis, St. Louis|Degenerative polyarthritis",GSE50635,human,GSM1225059|GSM1225071,GPL6244,2.0
dz:P499,Blood|Body tissue|whole blood specimen,GSM1225051|GSM1225054,"Encephalitis, St. Louis|Degenerative polyarthritis",GSE50635,human,GSM1225074|GSM1225077,GPL6244,2.0
