gene_symbol,logfc_dz:581,logfc_dz:893,logfc_dz:882,logfc_dz:274,logfc_dz:9,logfc_dz:895,mean_logfc,median_logfc,common_experiment,organism
SRP14,0.012030212208628654,,,0.011083872057497501,0.027156874537467957,,0.016756986267864704,0.012030212208628654,,human
DGCR6L,0.011987955309450626,,,,,,0.011987955309450626,0.011987955309450626,,human
UFM1,0.011953361332416534,,-0.02252771332859993,,,,-0.005287175998091698,-0.005287175998091698,,human
HSPB3,0.011872748844325542,-0.01753358170390129,,,,,-0.0028304164297878742,-0.0028304164297878742,,human
DYNLL1,0.011812341399490833,,-0.04776851087808609,-0.018818793818354607,,,-0.018258321098983288,-0.018818793818354607,,human
TMEM109,0.011794381774961948,,,,,,0.011794381774961948,0.011794381774961948,,human
ENDOD1,0.011788350529968739,,-0.01648745685815811,,,,-0.0023495531640946865,-0.0023495531640946865,,human
PRPH2,0.011753198690712452,,,,,,0.011753198690712452,0.011753198690712452,,human
RNF34,0.011728809215128422,,,,,,0.011728809215128422,0.011728809215128422,,human
TXNRD1,0.011709257028996944,,,0.06775253266096115,,,0.03973089484497905,0.03973089484497905,,human
RASAL1,0.011656217277050018,,,,,,0.011656217277050018,0.011656217277050018,,human
NT5M,0.01164007093757391,,,,,,0.01164007093757391,0.01164007093757391,,human
HNRNPA2B1,0.011547109112143517,,-0.020738473162055016,,,,-0.0045956820249557495,-0.0045956820249557495,,human
EIF4G1,0.011529618874192238,,,-0.014158440753817558,,,-0.0013144109398126602,-0.0013144109398126602,,human
CYB5R3,0.01149407122284174,,-0.0380328968167305,0.05114463344216347,,,0.008201935949424902,0.01149407122284174,,human
RPL34,0.011481606401503086,,,-0.03991100192070007,0.038094084709882736,,0.0032215630635619164,0.011481606401503086,,human
RPL30,0.011397204361855984,,,,-0.14041545987129211,,-0.06450912775471807,-0.06450912775471807,,human
BANF1,0.011363760568201542,,,,,,0.011363760568201542,0.011363760568201542,,human
PTTG1IP,0.011312851682305336,,,-0.012226631864905357,-0.011543470434844494,,-0.004152416872481505,-0.011543470434844494,,human
COX6C,0.011298411525785923,,,-0.011207419447600842,0.013787989504635334,,0.004626327194273472,0.011298411525785923,,human
AHCYL1,0.011286618188023567,,,,,,0.011286618188023567,0.011286618188023567,,human
MYL2,-0.23415662348270416,,,,,,-0.23415662348270416,-0.23415662348270416,,human
HBA2,-0.2254278063774109,,0.15839625895023346,,-0.03477416932582855,-0.04169442132115364,-0.035875034518539906,-0.038234295323491096,-0.04169442132115364,human
