gene_symbol,logfc_dz:581,logfc_dz:893,logfc_dz:882,logfc_dz:274,logfc_dz:895,mean_logfc,median_logfc,common_experiment,organism,signature_type
PPP1R1B,,-0.0362348966300487,,,,-0.0362348966300487,-0.0362348966300487,,human,DOWN
CA3,-0.0359502583742141,,,,,-0.0359502583742141,-0.0359502583742141,,human,DOWN
LDOC1,,,-0.0359469167888164,,,-0.0359469167888164,-0.0359469167888164,,human,DOWN
COL11A1,,,,-0.0359395742416381,,-0.0359395742416381,-0.0359395742416381,,human,DOWN
SUSD5,,,-0.0359279625117778,,,-0.0359279625117778,-0.0359279625117778,,human,DOWN
MYOZ1,-0.0494827777147293,-0.0222444217652082,,,,-0.0358635997399687,-0.0358635997399687,,human,DOWN
GTF3A,-0.0353881567716598,,,,,-0.0353881567716598,-0.0353881567716598,,human,DOWN
CHPT1,,,-0.0352512896060943,,,-0.0352512896060943,-0.0352512896060943,,human,DOWN
ZNF610,,,,,-0.0350552387535572,-0.0350552387535572,-0.0350552387535572,-0.0350552387535572,human,DOWN
NYAP2,,,,,-0.0350408777594566,-0.0350408777594566,-0.0350408777594566,-0.0350408777594566,human,DOWN
UTP11L,-0.0349179729819297,,,,,-0.0349179729819297,-0.0349179729819297,,human,DOWN
MYOM1,-0.0362933054566383,,,,-0.0334310568869113,-0.0348621811717748,-0.0348621811717748,-0.0334310568869113,human,DOWN
SRP9,,,-0.034857552498579,,,-0.034857552498579,-0.034857552498579,,human,DOWN
LOC101928134,,,,,-0.0344555899500846,-0.0344555899500846,-0.0344555899500846,-0.0344555899500846,human,DOWN
LOC100509639,,,,,-0.0344133339822292,-0.0344133339822292,-0.0344133339822292,-0.0344133339822292,human,DOWN
RDH8,,,,,-0.0343321599066257,-0.0343321599066257,-0.0343321599066257,-0.0343321599066257,human,DOWN
FTH1P5,0.0133598092943429,,-0.0511648245155811,-0.0647111758589744,,-0.0341720636934042,-0.0511648245155811,,human,DOWN
CLIP2,,,,,-0.0341418012976646,-0.0341418012976646,-0.0341418012976646,-0.0341418012976646,human,DOWN
ASPN,,,-0.0340655222535133,,,-0.0340655222535133,-0.0340655222535133,,human,DOWN
RPS24,,,-0.0175306722521781,-0.0505046807229518,,-0.034017676487565,-0.034017676487565,,human,DOWN
RNF182,,,,,-0.0338715240359306,-0.0338715240359306,-0.0338715240359306,-0.0338715240359306,human,DOWN
SLC25A34,,,,,-0.0337028130888938,-0.0337028130888938,-0.0337028130888938,-0.0337028130888938,human,DOWN
TECTB,,-0.0336837209761142,,,,-0.0336837209761142,-0.0336837209761142,,human,DOWN
LOC100507371,,,,,-0.0336834043264389,-0.0336834043264389,-0.0336834043264389,-0.0336834043264389,human,DOWN
HSP90AA1,-0.0242040436714887,,-0.0431605167686939,,,-0.0336822802200913,-0.0336822802200913,,human,DOWN
SMPX,-0.0446961186826229,-0.0225285477936267,,,,-0.0336123332381248,-0.0336123332381248,,human,DOWN
PEA15,,,,-0.0335120409727096,,-0.0335120409727096,-0.0335120409727096,,human,DOWN
OSBPL1A,-0.0333493463695049,,,,,-0.0333493463695049,-0.0333493463695049,,human,DOWN
FDFT1,,,-0.0332944095134735,,,-0.0332944095134735,-0.0332944095134735,,human,DOWN
C8B,,,-0.0332797281444072,,,-0.0332797281444072,-0.0332797281444072,,human,DOWN
MMADHC,,,-0.0331013277173042,,,-0.0331013277173042,-0.0331013277173042,,human,DOWN
PRRT2,,,,,-0.0330362766981124,-0.0330362766981124,-0.0330362766981124,-0.0330362766981124,human,DOWN
CALM1,,,-0.0330026447772979,,,-0.0330026447772979,-0.0330026447772979,,human,DOWN
PITX2,-0.0329687371850013,,,,,-0.0329687371850013,-0.0329687371850013,,human,DOWN
PIP5KL1,,,,,-0.0327885709702968,-0.0327885709702968,-0.0327885709702968,-0.0327885709702968,human,DOWN
LAMTOR3,,,-0.0327694863080978,,,-0.0327694863080978,-0.0327694863080978,,human,DOWN
AGAP7P,,,-0.0327466838061809,,,-0.0327466838061809,-0.0327466838061809,,human,DOWN
MFN2,-0.0327081680297851,,,,,-0.0327081680297851,-0.0327081680297851,,human,DOWN
FYCO1,-0.0326281785964965,,,,,-0.0326281785964965,-0.0326281785964965,,human,DOWN
CASQ2,-0.0209966599941253,,-0.0442193709313869,,,-0.0326080154627561,-0.0326080154627561,,human,DOWN
ID1,,,0.0434106066823005,-0.1085374355316162,,-0.0325634144246578,-0.0325634144246578,,human,DOWN
FAM129A,,,-0.0325020812451839,,,-0.0325020812451839,-0.0325020812451839,,human,DOWN
KCNN4,,-0.0324272438883781,,,,-0.0324272438883781,-0.0324272438883781,,human,DOWN
MCEMP1,,,,,-0.0324007049202919,-0.0324007049202919,-0.0324007049202919,-0.0324007049202919,human,DOWN
C11orf58,,,-0.0323986485600471,,,-0.0323986485600471,-0.0323986485600471,,human,DOWN
RAB9B,,,,,-0.0322380624711513,-0.0322380624711513,-0.0322380624711513,-0.0322380624711513,human,DOWN
TOB1,,,-0.0322313085198402,,,-0.0322313085198402,-0.0322313085198402,,human,DOWN
HSFX2,,,,,-0.0322216153144836,-0.0322216153144836,-0.0322216153144836,-0.0322216153144836,human,DOWN
NET1,,,-0.0321129076182842,,,-0.0321129076182842,-0.0321129076182842,,human,DOWN
MYOT,-0.0459132269024848,,,,-0.0182647481560707,-0.0320889875292778,-0.0320889875292778,-0.0182647481560707,human,DOWN
MXD3,,-0.0238469894975423,,,-0.0399966984987258,-0.0319218439981341,-0.0319218439981341,-0.0399966984987258,human,DOWN
C1orf112,,,,,-0.0318575799465179,-0.0318575799465179,-0.0318575799465179,-0.0318575799465179,human,DOWN
FKBP2,,,,-0.0317938327789306,,-0.0317938327789306,-0.0317938327789306,,human,DOWN
BCL6,-0.0412269830703735,,-0.0222534015774726,,,-0.0317401923239231,-0.0317401923239231,,human,DOWN
PPP1CC,,,-0.0317111350595951,,,-0.0317111350595951,-0.0317111350595951,,human,DOWN
PTPRCAP,,,,,-0.0316806994378566,-0.0316806994378566,-0.0316806994378566,-0.0316806994378566,human,DOWN
LOC101929224,,,,,-0.0316005386412143,-0.0316005386412143,-0.0316005386412143,-0.0316005386412143,human,DOWN
GOLGA8DP,,,-0.0314976684749126,,,-0.0314976684749126,-0.0314976684749126,,human,DOWN
NME1-NME2,,,,-0.0314137376844882,,-0.0314137376844882,-0.0314137376844882,,human,DOWN
ARGLU1,,,-0.0314103737473487,,,-0.0314103737473487,-0.0314103737473487,,human,DOWN
PDZRN3,-0.0262996461242437,,-0.0365147665143013,,,-0.0314072063192725,-0.0314072063192725,,human,DOWN
H3F3B,-0.0312698222696781,,,,,-0.0312698222696781,-0.0312698222696781,,human,DOWN
IL17C,,,,,-0.0312683172523975,-0.0312683172523975,-0.0312683172523975,-0.0312683172523975,human,DOWN
SLC39A4,,,,,-0.0310468785464763,-0.0310468785464763,-0.0310468785464763,-0.0310468785464763,human,DOWN
FRG1B,,,,,-0.030772142112255,-0.030772142112255,-0.030772142112255,-0.030772142112255,human,DOWN
ABCA3,,-0.0306739713996648,,,,-0.0306739713996648,-0.0306739713996648,,human,DOWN
COX7A1,,,,-0.0369519107043743,-0.024363363161683,-0.0306576369330286,-0.0306576369330286,-0.024363363161683,human,DOWN
ACOT6,,,,,-0.0306083019822835,-0.0306083019822835,-0.0306083019822835,-0.0306083019822835,human,DOWN
HSPA2,,,-0.0305533986538648,,,-0.0305533986538648,-0.0305533986538648,,human,DOWN
MPC1,-0.0512834824621677,,-0.0209707170724868,,-0.0193868596106767,-0.0305470197151104,-0.0209707170724868,-0.0193868596106767,human,DOWN
CRTAC1,,,-0.0305061507970094,,,-0.0305061507970094,-0.0305061507970094,,human,DOWN
MORF4L2,,,-0.0304935090243816,,,-0.0304935090243816,-0.0304935090243816,,human,DOWN
FLJ37201,,,,,-0.0304909963160753,-0.0304909963160753,-0.0304909963160753,-0.0304909963160753,human,DOWN
HEY2,,,-0.0304514989256858,,,-0.0304514989256858,-0.0304514989256858,,human,DOWN
MDH1,-0.0304431859403848,,,,,-0.0304431859403848,-0.0304431859403848,,human,DOWN
CYCS,,,-0.0303884018212556,,,-0.0303884018212556,-0.0303884018212556,,human,DOWN
