gene_symbol,logfc_dz:326,logfc_dz:117,logfc_dz:950,logfc_dz:951,logfc_dz:949,logfc_dz:948,mean_logfc,median_logfc,common_experiment,organism,signature_type
LINC01105,,,,,,-0.0239690132439136,-0.0239690132439136,-0.0239690132439136,,human,DOWN
SLC38A2,-0.023962527513504,,,,,,-0.023962527513504,-0.023962527513504,,human,DOWN
ZFYVE9,,,,,-0.0239100772887468,,-0.0239100772887468,-0.0239100772887468,,human,DOWN
GM2A,,,,,,-0.0237941015511751,-0.0237941015511751,-0.0237941015511751,,human,DOWN
BOD1L1,,,,,-0.0237134452909231,,-0.0237134452909231,-0.0237134452909231,,human,DOWN
ZNF177,,,,-0.0236896965652704,,,-0.0236896965652704,-0.0236896965652704,,human,DOWN
MKKS,,,-0.0274496804922819,-0.0195896103978157,-0.0240122955292463,,-0.0236838621397813,-0.0240122955292463,-0.0274496804922819,human,DOWN
TRIM50,,,,,-0.0236423034220933,,-0.0236423034220933,-0.0236423034220933,,human,DOWN
ACADVL,-0.0236415863037109,,,,,,-0.0236415863037109,-0.0236415863037109,,human,DOWN
ZNF124,,,-0.0199630409479141,,-0.0272502154111862,,-0.0236066281795501,-0.0236066281795501,-0.0199630409479141,human,DOWN
IFIH1,,,,-0.0159807987511158,-0.0324517823755741,-0.0223342347890138,-0.0235889386385679,-0.0223342347890138,,human,DOWN
PTGR2,,,-0.0235708635300397,,,,-0.0235708635300397,-0.0235708635300397,-0.0235708635300397,human,DOWN
CATSPER3,,,-0.0235215295106172,,,,-0.0235215295106172,-0.0235215295106172,-0.0235215295106172,human,DOWN
TTC30A,,,,,,-0.0235110912472009,-0.0235110912472009,-0.0235110912472009,,human,DOWN
KCNMB4,,,-0.0236565880477428,,-0.0233527068048715,,-0.0235046474263072,-0.0235046474263072,-0.0236565880477428,human,DOWN
SLC26A2,,,,,-0.0174341853708028,-0.0295465290546417,-0.0234903572127223,-0.0234903572127223,,human,DOWN
AXL,,,-0.0234865080565214,,,,-0.0234865080565214,-0.0234865080565214,-0.0234865080565214,human,DOWN
N6AMT2,,,-0.0234789345413446,,,,-0.0234789345413446,-0.0234789345413446,-0.0234789345413446,human,DOWN
MT1M,,-0.0234677344560623,,,,,-0.0234677344560623,-0.0234677344560623,,human,DOWN
AFM,,,,,,-0.0234625805169343,-0.0234625805169343,-0.0234625805169343,,human,DOWN
FAM26F,,,,-0.0234615374356508,,,-0.0234615374356508,-0.0234615374356508,,human,DOWN
SMAD5,,,-0.0229587145149707,,-0.0239321384578943,,-0.0234454264864325,-0.0234454264864325,-0.0229587145149707,human,DOWN
