gene_symbol,logfc_dz:827,logfc_dz:753,logfc_dz:635,logfc_dz:828,logfc_dz:829,logfc_dz:830,logfc_dz:634,logfc_dz:467,logfc_dz:318,logfc_dz:712,logfc_dz:713,logfc_dz:714,logfc_dz:715,logfc_dz:565,logfc_dz:567,logfc_dz:568,logfc_dz:729,logfc_dz:566,mean_logfc,median_logfc,common_experiment,organism,signature_type
CYP2B7P,,-0.0432769022881984,,,,,,,-0.0976064577698707,,-0.0118328034877777,,,,,,,,-0.0509053878486156,-0.0432769022881984,,human,DOWN
SMN2,,,,,,,,,-0.0505631081759929,,,,,,,,,,-0.0505631081759929,-0.0505631081759929,,human,DOWN
GBP5,,,,,,,,,,,,,-0.0102091692388057,0.0220681969076395,-0.1271005272865295,,,-0.0868893563747406,-0.0505327139981091,-0.0485492628067731,,human,DOWN
RHPN2,,,,,,,,,-0.050502385944128,,,,,,,,,,-0.050502385944128,-0.050502385944128,,human,DOWN
MYADM,,,,,,,,,0.0246404409408569,,,,,-0.0435370095074176,-0.0862873420119285,-0.0642275661230087,,-0.0794638693332672,-0.049775069206953,-0.0642275661230087,,human,DOWN
ADPRHL2,,,,,,,,,-0.0490661449730396,,,,,,,,,,-0.0490661449730396,-0.0490661449730396,,human,DOWN
MBNL3,,,,,,,,,,,,,,-0.0261786915361881,-0.0591456778347492,-0.0812668949365615,,-0.0293293949216604,-0.0489801648072898,-0.0442375363782048,,human,DOWN
IGHM,,,,,,,,,,,,,,,,,-0.0486243963241577,,-0.0486243963241577,-0.0486243963241577,,human,DOWN
LPCAT2,,,,,,,,,,,,,,,,,,-0.0484926365315914,-0.0484926365315914,-0.0484926365315914,,human,DOWN
PAIP2,,,,,,,,,,,,,,,-0.0440845899283885,,,-0.0524982437491416,-0.0482914168387651,-0.0482914168387651,,human,DOWN
YOD1,,,,,,,,,,,,,,-0.0451792404055595,,-0.0692576095461845,,-0.0298537500202655,-0.0480968666573365,-0.0451792404055595,,human,DOWN
KRT4,,,,,,,,,-0.0476457811892032,,,,,,,,,,-0.0476457811892032,-0.0476457811892032,,human,DOWN
TLR4,,,,,,,,,,,,,,,,,,-0.0476003624498844,-0.0476003624498844,-0.0476003624498844,,human,DOWN
USP43,,,,,,,,,-0.0473441407084465,,,,,,,,,,-0.0473441407084465,-0.0473441407084465,,human,DOWN
LOC440983,,,,,,,,,-0.0464740954339504,,,,,,,,,,-0.0464740954339504,-0.0464740954339504,,human,DOWN
SOD2,,,,,,,,,,,,,,,,,,-0.0458789207041263,-0.0458789207041263,-0.0458789207041263,,human,DOWN
GSTA5,-0.0417224839329719,,-0.0302165634930133,-0.0532765090465545,-0.0555259883403778,-0.0722257122397422,-0.0108331171795725,-0.0550442524254322,,,,,,,,,,,-0.0455492323796664,-0.0532765090465545,-0.0417224839329719,human,DOWN
MCL1,,,,,,,,,,,,,,-0.0418337956070899,,-0.0370242930948734,,-0.0576074831187725,-0.0454885239402453,-0.0418337956070899,,human,DOWN
PLGLA,,,,,,,,,-0.0454719588160514,,,,,,,,,,-0.0454719588160514,-0.0454719588160514,,human,DOWN
LOC100508591,,0.0220609568059444,,,,,,,-0.1122606247663497,,,,,,,,,,-0.0450998339802026,-0.0450998339802026,,human,DOWN
LOC100510519,,,,,,,,,-0.0449993051588535,,,,,,,,,,-0.0449993051588535,-0.0449993051588535,,human,DOWN
ZFP36L2,,,,,,,,,,,,,,-0.0325924009084701,,-0.0568505302071571,,,-0.0447214655578136,-0.0447214655578136,,human,DOWN
RPLP1,-0.0159238558262586,-0.1500757783651352,0.0292909536510705,-0.0408452786505222,-0.0056437775492668,-0.0694948807358741,-0.051120888441801,-0.0529718063771724,,,,,,,,,,,-0.04459816403687,-0.0459830835461616,-0.0159238558262586,human,DOWN
LRRN3,,,,,,,,,,-0.0891469195485115,-0.0460158251225948,-0.0141483815386891,-0.0278744399547576,,,,,,-0.0442963915411382,-0.0369451325386762,,human,DOWN
PRSS37,,,,-0.0399942509829998,,,,-0.047036774456501,,,,,,,,,,,-0.0435155127197504,-0.0435155127197504,,human,DOWN
TCL1A,,,,,,,,,,,,,,,-0.0378714986145496,-0.0320703722536563,-0.0595738217234611,,-0.0431718975305557,-0.0378714986145496,,human,DOWN
RPS5,,-0.0283846296370029,,,,,,,,-0.0701959654688835,-0.0500684529542923,-0.0461251698434352,-0.0421195700764656,-0.0194405373185873,,,,,-0.0427223875497778,-0.0441223699599504,,human,DOWN
LRRC6,,,,,,,,,-0.0420684479176998,,,,,,,,,,-0.0420684479176998,-0.0420684479176998,,human,DOWN
KCNJ15,,,,,,,,,,,,,,,,,,-0.0417815446853637,-0.0417815446853637,-0.0417815446853637,,human,DOWN
DLEC1,-0.0782258063554763,-0.00503880251199,-0.0340619385242462,-0.0358947925269603,-0.0365622639656066,,-0.0860872194170951,-0.0207436028867959,-0.0373829789459705,,,,,,,,,,-0.0417496756417676,-0.0362285282462835,-0.0782258063554763,human,DOWN
CXCR4,,-0.0101217646151781,,-0.0057570212520658,,,,-0.0050028646364808,,,-0.025693068280816,,,-0.0708674862980842,-0.0611266791820526,-0.0456448681652545,-0.0741103366017341,-0.0762743428349495,-0.0416220479851795,-0.0456448681652545,,human,DOWN
