gene_symbol,logfc_dz:769,logfc_dz:768,logfc_dz:548,logfc_dz:853,logfc_dz:855,logfc_dz:891,logfc_dz:892,logfc_dz:854,logfc_dz:543,logfc_dz:767,logfc_dz:542,logfc_dz:465,logfc_dz:852,logfc_dz:547,logfc_dz:549,logfc_dz:545,mean_logfc,median_logfc,common_experiment,organism,signature_type
TNXB,,0.0180019587278366,,,,,,,0.0227790027856826,,,,,,,,0.0203904807567596,0.0203904807567596,,human,UP
SEC16A,,,,,,,,,,,,0.020387789234519,,,,,0.020387789234519,0.020387789234519,,human,UP
COPS6,,0.0203804541379213,,,,,,,,,,,,,,,0.0203804541379213,0.0203804541379213,,human,UP
INPP5F,,,,,,,,,,,,0.0203602500259876,,,,,0.0203602500259876,0.0203602500259876,,human,UP
ZNF18,,0.0203553549945354,,,,,,,,,,,,,,,0.0203553549945354,0.0203553549945354,,human,UP
SNORD50B,0.0203534662723541,,,,,,,,,,,,,,,,0.0203534662723541,0.0203534662723541,0.0203534662723541,human,UP
CD44,,,,,,,0.021510511636734,,,,,,,,,0.0191633813083171,0.0203369464725255,0.0203369464725255,,human,UP
NECAB1,0.0222460739314556,,,,,,,,0.0184196271002292,,,,,,,,0.0203328505158424,0.0203328505158424,0.0222460739314556,human,UP
GSTM1,,,,,,,,0.0221257414668798,,,,,0.0237142592668533,,0.0151450624689459,,0.020328354400893,0.0221257414668798,,human,UP
ERC1,,,,,,0.0203134976327419,,,,,,,,,,,0.0203134976327419,0.0203134976327419,,human,UP
RASSF4,,,,,,,,,,,,,,0.0203128661960363,,,0.0203128661960363,0.0203128661960363,,human,UP
MEOX1,,,,,,,,,,,,,,0.0203024391084909,,,0.0203024391084909,0.0203024391084909,,human,UP
NR2F1,,,,,0.0202954020351171,,,,,,,,,,,,0.0202954020351171,0.0202954020351171,,human,UP
