gene_symbol,logfc_dz:769,logfc_dz:768,logfc_dz:548,logfc_dz:853,logfc_dz:855,logfc_dz:891,logfc_dz:892,logfc_dz:854,logfc_dz:543,logfc_dz:767,logfc_dz:542,logfc_dz:465,logfc_dz:852,logfc_dz:547,logfc_dz:549,logfc_dz:545,mean_logfc,median_logfc,common_experiment,organism,signature_type
FGR,,,-0.0407924875617027,,,,,,,,,,,,-0.0287822820246219,,-0.0347873847931623,-0.0347873847931623,,human,DOWN
PF4,,,-0.0343398861587047,,,,,,,,,,,,-0.0348393730819225,,-0.0345896296203136,-0.0345896296203136,,human,DOWN
MPHOSPH10,-0.0191942863166332,-0.0391421876847744,,,,,,,-0.0453455932438373,,,,,,,,-0.0345606890817483,-0.0391421876847744,-0.0191942863166332,human,DOWN
MTX2,-0.0345482341945171,,,,,,,,,,,,,,,,-0.0345482341945171,-0.0345482341945171,-0.0345482341945171,human,DOWN
FLT1,,,,,,,,,,,,,,-0.0345201529562473,,,-0.0345201529562473,-0.0345201529562473,,human,DOWN
GLIS1,,,,,,,,,,,,,,-0.0345195606350898,,,-0.0345195606350898,-0.0345195606350898,,human,DOWN
SPOCK1,,,,,-0.0333503149449825,-0.0171026866883039,,,,,,,-0.053083024919033,,,,-0.0345120088507731,-0.0333503149449825,,human,DOWN
RPH3A,,,,-0.0346226207911968,-0.0440606325864791,,,,,,,,-0.024793054908514,,,,-0.0344921027620633,-0.0346226207911968,,human,DOWN
SPON2,,,-0.0344795621931552,,,,,,,,,,,,,,-0.0344795621931552,-0.0344795621931552,,human,DOWN
ARNT2,,-0.0454066880047321,,-0.0181438364088535,,,,,-0.0397826991975307,,,,,,,,-0.0344444078703721,-0.0397826991975307,,human,DOWN
HACE1,-0.0344396717846393,,,,,,,,,,,,,,,,-0.0344396717846393,-0.0344396717846393,-0.0344396717846393,human,DOWN
SNCB,,,,,,,,,,,,-0.0343384966254234,,,,,-0.0343384966254234,-0.0343384966254234,,human,DOWN
SYNGR2,,,,,,,,,,,,-0.0343146584928035,,,,,-0.0343146584928035,-0.0343146584928035,,human,DOWN
TRPV2,,,,,,,,,,,,,,-0.0217756535857915,,-0.0466496795415878,-0.0342126665636897,-0.0342126665636897,,human,DOWN
POLR2H,-0.0342044830322265,,,,,,,,,,,,,,,,-0.0342044830322265,-0.0342044830322265,-0.0342044830322265,human,DOWN
