disease_name,disease_id,match_type,q_threshold,tahoe_hits_count,cmap_hits_count,common_hits_count,known_drugs_in_database_count,known_drugs_available_in_cmap_count,known_drugs_available_in_tahoe_count,tahoe_in_known_count,cmap_in_known_count,common_in_known_count,total_in_known_count,phase_0.5,phase_1.0,phase_2.0,phase_3.0,phase_4.0,"status_Active, not recruiting",status_Completed,status_Enrolling by invitation,status_Not yet recruiting,status_Recruiting,status_Suspended,status_Terminated,status_Unknown,status_Unknown status,status_Withdrawn
intracranial aneurysm,EFO_0003870,synonym,0.1,345,6,0,122,4,3,3,0,0,3,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
salivary gland adenoid cystic carcinoma,MONDO_0003175,name,0.1,97,64,2,45,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
juvenile rheumatoid arthritis,EFO_0002609,synonym,0.1,0,0,0,893,13,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viral cardiomyopathy,EFO_0002629,name,0.1,34,949,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glaucoma,MONDO_0005041,name,0.1,147,181,5,824,23,10,4,3,1,6,0.0,2.0,0.0,5.0,6.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0
aplastic anemia,MONDO_0015909,name,0.1,252,39,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpha 1-antitrypsin deficiency,MONDO_0013282,name,0.1,291,77,6,4,1,1,1,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Meningococcal infection,EFO_0004249,name,0.1,75,951,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hemorrhagic thrombocythemia,EFO_0000479,synonym,0.1,151,39,1,207,4,3,1,0,0,1,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Rett syndrome,MONDO_0010726,name,0.1,227,503,9,132,4,0,0,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
