drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action
CHEMBL2109624,CAPLACIZUMAB,Adhesion,ALX-0081|Caplacizumab|Caplacizumab yhdp|Caplacizumab-yhdp,Antibody,von Willebrand factor inhibitor
CHEMBL493982,VORAPAXAR,Membrane receptor,SCH-530348|Vorapaxar,Small molecule,Proteinase-activated receptor 1 antagonist
CHEMBL711,PHENINDIONE,Enzyme,Danilone|Fenindiona|NSC-41693|Phenindione|Phenylindanedione,Small molecule,Vitamin k epoxide reductase complex subunit 1 isoform 1 inhibitor
CHEMBL1094966,PIRBUTEROL,Membrane receptor,ARA-211|Pirbuterol,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL1095607,REPROTEROL,Membrane receptor,D-1959|Reproterol,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL1159717,TULOBUTEROL,Membrane receptor,Atenos|Berachin|Bremax|Chlibamol|Hokunalin|Lobuterol|NSC-758643|Tulobuterol|Tulobuterol hcl|Tulobuterol hydrochloride,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL1200434,OXTRIPHYLLINE,Enzyme,Choline theophyllinate|Choline theophylline|Cholinophyllin|NSC-760431|Oxtriphylline|Teofilinato de colina|Theocolin|Theophyllinate de choline,Small molecule,Phosphodiesterase 3 inhibitor
CHEMBL1201213,ISOETHARINE,Membrane receptor,Dilabron|Etyprenaline|Isoetarina|Isoetarine|Isoetharine|Neoisuprel|WIN 3406|WIN-3046|WIN-3406|WIN3406,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL1201295,BITOLTEROL,Membrane receptor,Bitolterol,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL160519,PROCATEROL,Membrane receptor,Meptin|Procaterol,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL1752,DYPHYLLINE,Enzyme,Diprofilina|Diprophylline|Dyphilline|Dyphylline|Glyphylline|NSC-14305,Small molecule,Phosphodiesterase 4 inhibitor
CHEMBL521589,BAMBUTEROL,Membrane receptor,Bambuterol,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL603,ZAFIRLUKAST,Membrane receptor,"ICI 204,219|ICI-204219|Ici-204,219|Zafirlukast",Small molecule,Cysteinyl leukotriene receptor 1 antagonist
CHEMBL1200473,CYCLOPENTOLATE HYDROCHLORIDE,Membrane receptor,Cyclopentolate hcl|Cyclopentolate hydrochloride|Cylate|Cyplegin|NSC-756706,Small molecule,Muscarinic acetylcholine receptor M3 antagonist
