gene_symbol,logfc_dz:839,logfc_dz:838,logfc_dz:848,logfc_dz:842,logfc_dz:843,logfc_dz:840,logfc_dz:841,logfc_dz:846,logfc_dz:847,logfc_dz:845,logfc_dz:844,logfc_dz:849,mean_logfc,median_logfc,common_experiment,organism,signature_type
HLA-A,0.0878012403845787,0.1983988434076309,0.0292455460876226,0.0905775353312492,0.1115380302071571,0.0684884041547775,0.0785909593105316,,0.0248482599854469,0.0477933771908283,0.0631924793124198,0.0577360913157463,0.078019160607999,0.0684884041547775,0.0878012403845787,human,UP
CT45A2,,,0.0770497694611549,,,,,,,,,,0.0770497694611549,0.0770497694611549,,human,UP
RLIM,0.0694499686360359,0.0452697686851024,0.0637004077434539,0.045437816530466,0.0945461988449096,,0.0515520237386226,,0.1391155868768692,0.0391575954854488,0.0976762995123863,0.0947456955909729,0.0740651361644268,0.0665751881897449,0.0694499686360359,human,UP
ERP27,,,0.0138970827683806,,,,,,0.1283013224601745,,,,0.0710992026142776,0.0710992026142776,,human,UP
CLNS1A,,,,,,,,,0.0686893984675407,,,,0.0686893984675407,0.0686893984675407,,human,UP
SH3KBP1,0.1305474936962127,0.0736431255936622,,0.1429403722286224,0.0237209368497133,0.1293670982122421,0.1602605879306793,0.1038061156868934,-0.1791468113660812,0.1267172992229461,0.0757360905408859,-0.0378993861377239,0.0681539020416411,0.1038061156868934,0.1305474936962127,human,UP
PABPC3,0.0747797116637229,0.033230260014534,0.0593005195260047,0.0367244184017181,0.0765014663338661,,0.0656816810369491,-0.01175750605762,0.1663975566625595,0.041329126805067,0.0875486731529235,0.1144477054476738,0.0676530557261271,0.0656816810369491,0.0747797116637229,human,UP
EPCAM,0.0795508548617363,0.0640176087617874,0.031317938119173,0.0425077006220817,0.071582518517971,0.0600859448313713,0.0623527355492115,0.0318730324506759,0.1117659583687782,0.0561282224953174,0.0989636555314064,0.0964819937944412,0.0672190136586626,0.0631851721554994,0.0795508548617363,human,UP
LDHB,0.063046395778656,0.0297502856701612,0.0416779294610023,0.0522441379725933,0.1172549575567245,0.0524270012974739,0.0498572625219821,,0.0663391798734664,0.0425124578177928,0.0311967525631189,0.1365500688552856,0.0620778572152961,0.0522441379725933,0.063046395778656,human,UP
HSP90AA1,0.0649697408080101,0.0370849855244159,0.0587252452969551,0.0599065795540809,0.0820110291242599,0.0580405220389366,0.0671822503209114,0.0442246571183204,0.0338945835828781,0.07569470256567,0.0746353566646575,0.0579899884760379,0.0595299700895945,0.059315912425518,0.0649697408080101,human,UP
SNRPG,0.077615275979042,0.0369651205837726,0.0218321029096841,0.053316593170166,0.0673943385481834,0.0561967156827449,0.0652413666248321,0.0335546769201755,0.0206651762127876,0.069136343896389,0.089612178504467,0.1221725344657898,0.0594752019581695,0.0607190411537885,0.077615275979042,human,UP
SDCBP,0.0388818196952343,0.0826197639107704,0.0780708864331245,0.0221016258001327,0.0945929363369941,0.0254129767417907,0.0505288541316986,0.0333501584827899,0.0849888175725936,0.0559220910072326,0.0627032741904258,0.0657275095582008,0.057908392821749,0.0593126825988292,0.0388818196952343,human,UP
SOSTDC1,,,,,,,,,0.0573926828801631,,,,0.0573926828801631,0.0573926828801631,,human,UP
