"SYMBOL","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
FKBP1A,0.0169303171072042,-0.091504740600274,0.748,0.757,1
SERPINF1,0.0169412714805288,0.105128625938569,0.146,0.117,1
PIEZO1,0.0169435102130371,-0.129258819618792,0.24,0.266,1
RBMS2,0.0170238139930261,-0.0694918415304493,0.225,0.239,1
TOGARAM1,0.0170271828653689,0.000489577292693499,0.107,0.091,1
CERK,0.017034735712788,0.0843865769880761,0.182,0.13,1
MAPK1,0.0170741663971068,-0.00182625139463233,0.256,0.25,1
RPS21,0.0170805426154068,-0.354755437573286,0.91,0.945,1
COPS7A,0.0170873152054672,-0.0763432906812657,0.096,0.123,1
RNASEK,0.0171363941579239,0.00229530197967565,0.726,0.73,1
CDK1,0.0172158467073545,-0.230390843459847,0.057,0.127,1
RHOU,0.0172698726284286,0.0844371234483279,0.132,0.12,1
TCN2,0.0172700443203168,-0.221880414073085,0.17,0.241,1
NOL9,0.0172831239037063,-0.00054805731874652,0.1,0.112,1
PLXDC2,0.0172834616575966,-0.0853390557644491,0.083,0.11,1
CCM2,0.0172944851792942,-0.0716265257805658,0.108,0.135,1
CHMP4A,0.0172947845352795,-0.153687509585285,0.201,0.244,1
DCTN5,0.0173586253247547,-0.0465377259726449,0.113,0.115,1
PRAF2,0.0173696741767332,-0.0561931069269967,0.143,0.16,1
NOVA1,0.0174168552755184,0.0474722379875533,0.123,0.094,1
MLST8,0.0174281296601763,-0.0380586880789813,0.084,0.123,1
TSPAN4,0.0174285714320425,-0.0853266686651426,0.314,0.335,1
RPL21,0.0175181769657345,-0.0931713099373814,0.874,0.883,1
POLR2J,0.0175454407000362,-0.249042132271754,0.348,0.395,1
UBE2D2,0.017576847454949,-0.0221847143005784,0.422,0.42,1
UBXN6,0.0175838295465507,-0.0819044818941677,0.159,0.169,1
CTSC,0.0176065131930648,-0.0678637211971851,0.317,0.347,1
UBE4B,0.0176116207367854,0.00566777837179627,0.106,0.09,1
RPS13,0.017615553558239,-0.115006895141387,0.912,0.92,1
UBXN7,0.0176269692044963,0.0942442308422268,0.256,0.215,1
SWI5,0.0176940609689282,-0.11269893328983,0.176,0.222,1
SOCS3,0.0177504204730242,-0.197833791231444,0.564,0.61,1
JOSD2,0.0177532117953443,-0.0967278343172859,0.175,0.189,1
ZDHHC13,0.0178144127354048,-0.00407086062214079,0.103,0.11,1
PPP1R9B,0.0178818455490371,-0.157448336753997,0.109,0.128,1
TDP2,0.0178998959318474,-0.091428605286914,0.079,0.101,1
SELENOF,0.0179296006391802,-0.227715044897655,0.418,0.472,1
MBTPS1,0.0179497798973059,-0.10751135511596,0.26,0.282,1
CYB5R1,0.0179819860261239,-0.125534456675157,0.095,0.144,1
WDR37,0.0180586881095056,0.124171320588356,0.116,0.073,1
CACYBP,0.0180872444156386,0.315414651550355,0.464,0.402,1
ELP5,0.0180918237527511,-0.21670227347054,0.177,0.239,1
SRRM1,0.0181224297337584,0.045524362419858,0.565,0.551,1
MIS18BP1,0.0181486276718841,-0.230775521899135,0.214,0.259,1
CDK4,0.0181971382220734,-0.29131869247796,0.255,0.327,1
LHFPL6,0.018202491826351,0.0477981129720829,0.202,0.175,1
TINAGL1,0.0183376766495068,0.0651356378722614,0.434,0.419,1
GLIS2,0.0183480260338834,0.127493604075879,0.106,0.057,1
DHPS,0.018362641787256,-0.0731174801324878,0.172,0.184,1
RNF169,0.0183704858028537,0.143124876221842,0.246,0.178,1
NEMF,0.0184061487611173,-0.0486945185846612,0.237,0.245,1
CASP6,0.0184353606186546,-0.111555456122256,0.053,0.103,1
ATM,0.0184573336909446,-0.108946017522328,0.139,0.154,1
LSM10,0.0184629434738798,-0.056606255600175,0.159,0.196,1
CAT,0.018474130794683,-0.041073182651448,0.126,0.126,1
UBL3,0.0184850065334365,0.202159681104526,0.332,0.24,1
DDOST,0.018499750850498,-0.147106514427922,0.321,0.348,1
YPEL2,0.0186138311419397,0.269565113255609,0.487,0.406,1
NSL1,0.0186436272622481,-0.163112713161183,0.131,0.174,1
TTL,0.0186671444466348,0.0328127581817218,0.158,0.141,1
