gene_symbol,logfc_dz:596,logfc_dz:917,logfc_dz:453,logfc_dz:643,mean_logfc,median_logfc,common_experiment,organism
OCIAD2,,,0.009856551885604858,,0.009856551885604858,0.009856551885604858,,human
PRR15L,,,0.009699065238237381,0.01832120306789875,0.014010134153068066,0.014010134153068066,,human
NPIPB5,,,0.009614229202270508,,0.009614229202270508,0.009614229202270508,,human
CALM3,,,0.009544497355818748,,0.009544497355818748,0.009544497355818748,,human
SLC26A3,,,0.00943805556744337,,0.00943805556744337,0.00943805556744337,,human
SPRR2A,,,-0.05338266119360924,,-0.05338266119360924,-0.05338266119360924,,human
KRT14,,,-0.04885255545377731,0.16657975316047668,0.058863598853349686,0.058863598853349686,,human
PPIAL4C,,,-0.024841301143169403,,-0.024841301143169403,-0.024841301143169403,,human
GNB2L1,,,-0.021251674741506577,,-0.021251674741506577,-0.021251674741506577,,human
SPRR2E,,,-0.020345736294984818,,-0.020345736294984818,-0.020345736294984818,,human
SNORA21,,,-0.02025364525616169,,-0.02025364525616169,-0.02025364525616169,,human
KRT16P3,,,-0.017287269234657288,,-0.017287269234657288,-0.017287269234657288,,human
LAPTM4A,,,-0.017078053206205368,-0.028269700706005096,-0.022673876956105232,-0.022673876956105232,,human
RPS20,,,-0.015493611805140972,-0.015547407791018486,-0.015520509798079729,-0.015520509798079729,,human
RPL35A,,,-0.015486793592572212,,-0.015486793592572212,-0.015486793592572212,,human
MAMDC2,,,-0.014745526947081089,,-0.014745526947081089,-0.014745526947081089,,human
RPL41P5,,,-0.014662323519587517,,-0.014662323519587517,-0.014662323519587517,,human
RPS28,,,-0.014429316855967045,,-0.014429316855967045,-0.014429316855967045,,human
NACA,,,-0.01440470665693283,-0.01206919550895691,-0.01323695108294487,-0.01323695108294487,,human
