gene_symbol,logfc_dz:392,logfc_dz:978,logfc_dz:148,logfc_dz:602,logfc_dz:24,logfc_dz:52,logfc_dz:39,logfc_dz:478,logfc_dz:448,logfc_dz:504,logfc_dz:11,mean_logfc,median_logfc,common_experiment,organism
PARP1,,0.014106141403317451,,,0.01346340961754322,,,,,,0.018430883064866066,0.015333478028575579,0.014106141403317451,,human
CPNE3,,0.014105839654803276,,,0.016494235023856163,,,,,-0.02278810925781727,,0.002603988473614057,0.014105839654803276,,human
HSPE1,,0.014029323123395443,,,0.026028189808130264,,,,,,,0.020028756465762854,0.020028756465762854,,human
BST2,,0.01401834562420845,-0.0123113002628088,,,,-0.03389899805188179,,,,,-0.01073065089682738,-0.0123113002628088,,human
LOC100505937,,0.013954952359199524,,,,,,,,,,0.013954952359199524,0.013954952359199524,,human
LAP3,,0.013937273062765598,0.011833913624286652,,0.012011191807687283,,,,,,,0.012594126164913177,0.012011191807687283,,human
MRPL27,,0.013775387778878212,,0.013287370093166828,,,,,,,,0.01353137893602252,0.01353137893602252,,human
PDCD10,,0.013709555380046368,,,0.014490007422864437,,,,,,,0.014099781401455402,0.014099781401455402,,human
NACA,,0.01367834210395813,0.01173680741339922,-0.017257479950785637,,,,,,,,0.0027192231888572374,0.01173680741339922,,human
PFN1,,0.013667115941643715,,,0.014069424010813236,,,,,0.07380231469869614,,0.033846284883717694,0.014069424010813236,,human
GATA3,,0.013632521033287048,-0.03878311812877655,,,,,,0.03816793113946915,,,0.004339111347993215,0.013632521033287048,,human
TSTD1,,0.013516062870621681,,0.020119499415159225,,,,,,,,0.016817781142890453,0.016817781142890453,,human
ALDOA,,0.013505084440112114,-0.04000670090317726,,,,,,,-0.05240357667207718,,-0.026301731045047443,-0.04000670090317726,,human
ATP1B1,,0.013456442393362522,,,,,,,,,,0.013456442393362522,0.013456442393362522,,human
TUBB,,0.013411127030849457,0.04207012429833412,,,,,,,0.021444812417030334,,0.025642021248737972,0.021444812417030334,,human
SLC16A6,,0.013321067206561565,,,,,,,,,,0.013321067206561565,0.013321067206561565,,human
KDELR2,,0.0132850157096982,0.01581183262169361,0.019705666229128838,0.01769784651696682,,,,,,,0.016625090269371867,0.016754839569330215,,human
SEC61G,,0.01327364332973957,,0.01267718430608511,0.012160872109234333,,,,,,,0.01270389991501967,0.01267718430608511,,human
IFITM1,,0.013214132748544216,-0.022412678226828575,,,,,,,,,-0.0045992727391421795,-0.0045992727391421795,,human
HLA-DRB4,,0.013206648640334606,0.07385257631540298,0.036977384239435196,,0.02281120792031288,,,0.05482009798288345,,,0.040333583019673824,0.036977384239435196,,human
CASC3,,0.013168641366064548,,,,,,,,,,0.013168641366064548,0.013168641366064548,,human
INTS8,,0.01311457809060812,,,0.010424564592540264,,,,,,,0.011769571341574192,0.011769571341574192,,human
LPCAT1,,0.013064373284578323,,,,,,0.023330943658947945,,,,0.018197658471763134,0.018197658471763134,,human
TUBB3,,0.012770405039191246,,,,,,,,0.030379798263311386,,0.021575101651251316,0.021575101651251316,,human
ADAR,,0.012763511389493942,,0.015247326344251633,,,,,0.018941085785627365,,,0.015650641173124313,0.015247326344251633,,human
BZW1,,0.012759196572005749,,,0.012134598568081856,,,,,,,0.012446897570043802,0.012446897570043802,,human
ECM1,,0.012704622931778431,,,,,,,,,,0.012704622931778431,0.012704622931778431,,human
RAB10,,0.012534081004559994,,,0.016976552084088326,,,,,,,0.01475531654432416,0.01475531654432416,,human
GLRX,,0.012527716346085072,,,0.015508139505982399,,,,,,-0.016024786978960037,0.0040036896243691444,0.012527716346085072,,human
ARPC2,,0.01252735499292612,0.009745714254677296,0.034801483154296875,0.016681160777807236,,,,-0.0183101799339056,0.013741988688707352,,0.011531253655751547,0.013134671840816736,,human
PTTG1,,0.012501219287514687,,,0.014755030162632465,,,,,0.08253008127212524,,0.0365954435740908,0.014755030162632465,,human
MLPH,,0.012449754402041435,-0.05716662108898163,0.012318821623921394,,,,,0.024060308933258057,,,-0.0020844340324401855,0.012384288012981415,,human
H2BFS,,0.012418377213180065,,,0.01220741868019104,,,,,,,0.012312897946685553,0.012312897946685553,,human
