gene_symbol,adj.P.Val,logfc_dz
TMEM135,4.98405683599705e-13,1.24992479784609
HMCN1,5.51234019040216e-13,1.24885056793452
ZNF596,1.20025191203677e-14,1.24836776054158
C7orf57,3.70059353877399e-11,1.24831865822155
INTU,2.16807264370131e-10,1.24781330070288
ALMS1,1.03390728201695e-16,1.24760450352356
GCA,1.33502075312295e-13,1.24707417417868
H4C3,1.80964742529711e-08,1.24587716305574
RHOBTB1,2.16084299554673e-09,1.24587027491731
NUP62CL,1.71626235041941e-16,1.24548994328226
RCBTB2,1.70157777570731e-12,1.2453034414774
POGLUT3,1.09560324530077e-11,1.24475213316541
SLC38A6,2.06946042053515e-10,1.24425941903414
ZNF776,2.0843109458061e-13,1.2434959598108
LRP11,6.17442476446872e-11,1.2427139059017
RMI1,8.73638829270041e-09,1.23995289164762
GORAB,1.51706786065306e-12,1.23969736640648
UCHL3,1.06287021411562e-14,1.23859380680078
MAD2L1,1.66683260465133e-08,1.23807827508705
PAPOLA,9.28152940808181e-12,1.23673901743885
GINM1,4.09551214965144e-16,1.23673873173679
PCYOX1,9.67239424553622e-11,1.23506897312764
MYB,4.41766367449389e-09,1.23505114346088
FREM2,5.66220003497489e-06,1.2350306821924
TRMT6,7.927927265066e-17,1.23478087623977
BMT2,3.14666920365414e-17,1.23300359748226
ZNF304,3.84431323670681e-13,1.23287444299476
ROBO1,1.09260849563914e-09,1.23253083219363
COL21A1,6.15299409227508e-06,1.23168798474537
RBM34,4.24494121773898e-16,1.2304972910284
EBNA1BP2,1.14012156787328e-17,1.23008019973311
SLC18B1,2.81191983461754e-10,1.22967584100409
RECQL,1.53403484490201e-13,1.22904793827863
KRBOX4,7.08519602879842e-12,1.22866407307208
GLA,1.10442714960745e-06,1.22719024287285
TBC1D32,1.10820925121125e-16,1.22681335572393
OSTF1,2.27806919891381e-11,1.22646611219417
ZNF720,1.1283763149886e-19,1.22479444872824
YEATS4,2.10955755435872e-16,1.22429288633427
PSMA6,3.84648955677608e-17,1.22420940529692
MORC4,3.02038671833222e-10,1.22338688264646
C4orf46,8.34158588415496e-15,1.22338446516921
EHHADH,5.18685492201298e-21,1.2230740266746
PPIP5K2,7.24942955572378e-12,1.22271384571415
RUNDC3B,2.67851138803709e-12,1.22159761301307
TYMS,4.29987128092746e-05,1.22108622718353
ATP1B1,2.62200793344021e-06,1.22009829749115
ARMCX1,1.28484393058942e-16,1.21975478351809
PLRG1,9.47513126513139e-14,1.21959336057839
DHX29,1.28985708425038e-09,1.21801678609763
FH,7.37083562773161e-13,1.21789460177031
FAM98B,2.27397940713898e-13,1.21729495358618
ZNRF2,7.64328877250854e-15,1.21478487335018
BEX5,1.92592547785283e-10,1.21315458204976
COPS5,9.80706785478568e-13,1.21238495953936
WDR11,1.70265652840993e-10,1.21222130598394
MACO1,4.96184187814524e-17,1.21209518709405
ENOPH1,5.65510016379188e-14,1.2117627509271
C8orf48,1.89826963556882e-18,1.21153268348974
NAT1,4.48289569208635e-15,1.21118809283766
IMPACT,3.26085340723795e-18,1.21025800169677
ANKRD6,2.38687761886515e-16,1.21011740931293
PBDC1,5.72652313107459e-15,1.20967859548256
MTPAP,3.46856907004194e-17,1.20930002943937
PRMT6,4.4638010369921e-15,1.20606606338919
CRNKL1,2.07014014597092e-12,1.20562412616571
SWAP70,3.27997039644085e-09,1.20516431479629
AK3,2.26657027105586e-11,1.20507576149058
C2orf69,3.56195181135676e-16,1.20412099843486
FAM155A,1.90432282984124e-18,1.20382130411357
TEFM,8.27734049126673e-18,1.20357731594351
