gene_symbol,logfc_dz,mean_logfc,median_logfc,P.Value,adj.P.Val,AveExpr,t,B,probe.id,signature_type
PI16,1.11688088595022,1.11688088595022,1.11688088595022,1.29569839442608e-07,6.4194917305696e-06,7.31107510482075,-6.5814285533255,7.52077041566851,221476_at,UP
TMIGD2,1.11655728056785,1.11655728056785,1.11655728056785,1.56917919569442e-05,0.0001099858803331,7.89844439111898,-5.00246090023528,2.88280018861515,126259_at,UP
LOC100129573,1.11551282497896,1.11551282497896,1.11551282497896,7.28470481529765e-06,6.58290529266598e-05,7.26983808359728,-5.2552784630932,3.62277818597741,100129573_at,UP
GAST,1.11535181523476,1.11535181523476,1.11535181523476,0.0320679015623994,0.0472336877546696,8.34699803261423,-2.23206784002781,-4.2615857609043,2520_at,UP
DMTN,1.1148098621091,1.1148098621091,1.1148098621091,1.8216198327558e-07,7.65987056156257e-06,8.89167395694767,-6.4685171076391,7.19088532900095,2039_at,UP
ADAMTS10,1.1117915195177,1.1117915195177,1.1117915195177,3.71482947070768e-08,3.32290685056664e-06,6.71055462732373,-6.99806170511558,8.7302531853466,81794_at,UP
FJX1,1.10946455782196,1.10946455782196,1.10946455782196,0.0105973121624148,0.0178662833197452,7.97262128667827,-2.69949334151864,-3.27276954692262,24147_at,UP
PDLIM7,1.10878354896753,1.10878354896753,1.10878354896753,3.76955861914265e-05,0.0002025593881283,7.22367593521803,-4.71202836369738,2.0395299366233,9260_at,UP
SLC22A12,1.10677202887834,1.10677202887834,1.10677202887834,2.7538284021137e-07,9.30848531169917e-06,6.1881598545508,-6.33187930292788,6.79071038579101,116085_at,UP
MYBL2,1.10560298814162,1.10560298814162,1.10560298814162,1.74562613236967e-07,7.48062880658167e-06,7.15361216574556,-6.48262617744556,7.23214871171787,4605_at,UP
NPPA,1.10293572257308,1.10293572257308,1.10293572257308,8.76317609914558e-09,1.35110499144038e-06,7.26198283916352,-7.48602173239984,10.1274158036577,4878_at,UP
UNC93B1,1.10266211838467,1.10266211838467,1.10266211838467,5.52192360912585e-07,1.36278413505222e-05,7.29531167384484,-6.10253424710683,6.11709250271238,81622_at,UP
GAL3ST1,1.10092845226132,1.10092845226132,1.10092845226132,1.95297579219725e-05,0.000126637404645,6.92265501284687,-4.9301549441548,2.67206450688721,9514_at,UP
CRYGEP,1.10053187920301,1.10053187920301,1.10053187920301,8.49676030626621e-08,5.20731890627884e-06,6.74936584893103,-6.7216641546358,7.92933100039723,200575_at,UP
SHKBP1,1.10039968060329,1.10039968060329,1.10039968060329,6.90740591557884e-07,1.55362347326752e-05,7.99601850269266,-6.0288845851724,5.90038152263355,92799_at,UP
FXYD5,1.10017283188193,1.10017283188193,1.10017283188193,0.0002721965011874,0.0008882703728411,9.15446810428632,-4.04453620521064,0.148124143541073,53827_at,UP
PRRX2,1.09890777598735,1.09890777598735,1.09890777598735,2.19880144848348e-05,0.0001369004524946,7.67552410876204,-4.89092489057931,2.55793093737222,51450_at,UP
SNORA71B,1.09849862052712,1.09849862052712,1.09849862052712,1.56165191287219e-05,0.0001096636194147,5.88216129180183,-5.00404865485474,2.88743282537488,26776_at,UP
CCL4,1.09816981015466,1.09816981015466,1.09816981015466,0.0019443729198525,0.004250644065129,9.95293985890464,-3.34871462188174,-1.70822810640006,6351_at,UP
UCN3,1.09771288181869,1.09771288181869,1.09771288181869,8.61785349164483e-08,5.20731890627884e-06,5.75020144005123,-6.71695358818579,7.91562965282808,114131_at,UP
COL6A2,1.09735045131671,1.09735045131671,1.09735045131671,1.17810946378575e-06,2.10579356511233e-05,10.7675052314213,-5.85344594261888,5.38367297687523,1292_at,UP
ADCK5,1.09630892156809,1.09630892156809,1.09630892156809,6.06681221067449e-07,1.44357923404197e-05,6.59356080663905,-6.07156681363715,6.02599089379673,203054_at,UP
TP53,1.09521047006916,1.09521047006916,1.09521047006916,1.20165436632684e-05,9.15384456669356e-05,8.63498608307786,-5.0905001086864,3.13998017626652,7157_at,UP
HAMP,1.09479235820584,1.09479235820584,1.09479235820584,0.0001714398881219,0.0006222137966494,6.76778993384388,-4.20271442698498,0.588703554135208,57817_at,UP
FIZ1,1.09360423636861,1.09360423636861,1.09360423636861,1.2358008134848002e-10,1.20543542206774e-07,7.5700171775484,-8.98024771241645,14.2339588645773,84922_at,UP
HIC1,1.09318803032205,1.09318803032205,1.09318803032205,7.20559073960544e-06,6.54447674920286e-05,6.82409275536579,-5.25886937075512,3.63331726910973,3090_at,UP
