"","logFC","AveExpr","t","P.Value","adj.P.Val","B","probe.id","symbols"
"25896_at",1.17507668190765,6.53565866069562,10.170693875903,1.34809299961325e-13,6.9382756291653e-12,20.7904767205635,"25896_at","INTS7"
"25821_at",1.17504757449316,6.95924765020931,9.73487062075798,5.66391106967753e-13,1.93365923918791e-11,19.3734436320053,"25821_at","MTO1"
"9474_at",1.175027815165,7.50842451179474,8.06992636689604,1.65098304223776e-10,1.41323596478054e-09,13.7669480695537,"9474_at","ATG5"
"27113_at",-1.17479679855265,7.52692192423732,-8.25335076746179,8.72182858394128e-11,8.65590778650451e-10,14.3973698489749,"27113_at","BBC3"
"84328_at",1.17468726876438,7.28186660803752,12.781464464138,3.95538991775165e-17,2.58623228377458e-14,28.794984808828,"84328_at","LZIC"
"114224_at",-1.17452126863189,7.33722931551074,-4.69241697300461,2.25431694546558e-05,4.02874091004336e-05,2.15299744564745,"114224_at","LOC114224"
"27239_at",-1.17444548687516,7.11161011133738,-8.31287597589863,7.0945724510235e-11,7.35911656144207e-10,14.6013903475503,"27239_at","GPR162"
"7108_at",-1.17435520074216,7.755652338193,-6.34979862968847,7.12984636803864e-08,2.24378204029657e-07,7.78222322692468,"7108_at","TM7SF2"
"51574_at",1.17382177508333,7.66680716828648,8.09760026356626,1.49918999925172e-10,1.31012832528465e-09,13.8622241407371,"51574_at","LARP7"
"139596_at",1.17381934374281,7.02503814712602,9.62954684748962,8.03969738246226e-13,2.47275016790326e-11,19.0275395848826,"139596_at","UPRT"
"29080_at",1.17372418550469,8.11051151207625,8.90422655404967,9.2797681881205e-12,1.50342233667448e-10,16.6112044423506,"29080_at","CCDC59"
"2764_at",1.17362934781693,7.81891053034967,7.49567797892804,1.23604014564515e-09,7.13012573909654e-09,11.77890829903,"2764_at","GMFB"
"10195_at",-1.17349284955091,9.11488482775014,-6.17701448478022,1.31378886695311e-07,3.83693494215346e-07,7.1812949468748,"10195_at","ALG3"
"7480_at",-1.17345988530505,6.84095849969545,-8.73786204744528,1.63908291705152e-11,2.35613855950058e-10,16.0491030648509,"7480_at","WNT10B"
